N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
976;000034;ГосЛПУ;МО_БП_10%;;;;09658;Химкинская центральная клиническая больница ГАУЗ МО;20.01.2016;Химкинская центральная клиническая больница ГАУЗ МО;;Московская область;;;Зелинская Н.И.;100;ЛПУ;90;7,40;5,92;;;;;;;;1 886 660,04;203 380,49;;;АВТО;ложь ;;Парма Медикал АО;1;;;;1 725 890,27;;000000291;;;;;;;;;1 725 890,27;
977;000034;ГосЛПУ;МО_БП_10%;;;;09628;"Королевский СРЦН ""Забота"" ГКУ СО МО г. Королев";23.12.2015;"Королевский СРЦН ""Забота"" ГКУ СО МО г. Королев";;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;;;29 537,67;1 726,07;74 394,18;15 533,99;66 400,61;10 551,72;АВТО;ложь ;;Парма Медикал;1;;;29 537,67;34 168,34;;000000291;;;29 537,67;34 168,34;;;;;;
978;000034;ГосЛПУ;МО_БП_10%;;;;08971;1586 ВГК Минобороны России ФГКУ;11.11.2014;1586 ВГК Минобороны России ФГКУ;;Московская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;725 403,33;43 671,50;;;;;;;АВТО;истина ;;Парма Медикал;1;;390 524,55;;;;000000291;;;;;;;390 524,55;;;
979;000034;ГосЛПУ;МО_БП_10%;;;;09696;Дмитровский центр социальной адаптации ГБУ СО МО;10.02.2016;Дмитровский центр социальной адаптации ГБУ СО МО;;Московская область;;;Шкатова В.В;50;ЛПУ;7;0,30;0,46;;;;;;;;17 454,52;7 665,84;18 553,46;9 921,83;АВТО;истина ;;Парма Медикал АО;1;;;;17 454,52;18 553,46;000000291;;;;;;;;;17 454,52;18 553,46
980;000034;ГосЛПУ;МО_БП_10%;;;;07668;Фряновская больница ГБУЗ МО;30.11.2012;Фряновская больница ГБУЗ МО;;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;12 946,98;3 419,45;;;;;;;82 516,79;4 867,75;АВТО;ложь ;;;1;;;;;;000000291;;;;;;;;;;
981;000034;ГосЛПУ;МО_БП_10%;;;;09622;Вербилковская участковая больница ГБУЗ МО;21.12.2015;Вербилковская участковая больница ГБУЗ МО;;Московская область;;;Носова Е.А.;100;ЛПУ;;;;;;;;;20 643,28;10 878,88;;;;;АВТО;ложь ;;;1;;;20 643,28;;;000000291;;;;;;;;20 643,28;;
982;000034;ГосЛПУ;МО_БП_10%;;;;05597;Мытищинская ГП №5 ГБУЗ МО г. Мытищи;24.06.2010;Мытищинская ГП №5 ГБУЗ МО г. Мытищи;;Московская область;;;Носова Е.А.;100;ЛПУ;10;0,60;0,66;;145 942,05;19 714,29;;;;;;;;;АВТО;ложь ;;;1;;;;;;000000291;;;;;;;;;;
983;000034;ГосЛПУ;МО_БП_10%;;;;09340;МСЧ 170 г. Королев;17.06.2015;МСЧ 170 г. Королев;;Московская область;;;Зелинская Н.И.;50;ЛПУ;10;0,60;0,66;;;;;;348 931,74;72 091,12;;;;;АВТО;истина ;;Парма Медикал АО;1;;;348 931,74;;;000000291;;;;;;;;348 931,74;;
984;000034;ГосЛПУ;МО_БП_10%;;;;09844;Сходненская городская больница ГБУЗ МО г. Химки;17.10.2016;Сходненская городская больница ГБУЗ МО г. Химки;;Московская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;;;459 774,45;20 414,99;512 242,98;64 099,95; -;ложь ;;;1;;;;459 774,45;512 242,98;000000291;;;;422 303,36;;;;;37 471,09;512 242,98
985;000034;ГосЛПУ;МО_БП_10%;;;;06935;"МЛПУ ""Красногорская станция скорой помощи""";03.10.2011;"МЛПУ ""Красногорская станция скорой помощи""";;Московская область;;;Носова Е.А.;100;ЛПУ;;;;;9 984,35;2 616,10;;;;;;;;;АВТО;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
986;000034;ГосЛПУ;МО_БП_10%;;;;03619;Коломенская ЦРБ ГБУЗ МО;09.06.2010;Коломенская ЦРБ ГБУЗ МО;;Московская область;;0,700;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;;;48 781,82;3 953,82;744 299,34;120 459,98;АВТО;ложь ;;;1;;;;48 781,82;744 299,34;000000291;;;;;;;;;48 781,82;744 299,34
987;000034;ГосЛПУ;МО_БП_10%;;;;08582;Турист ГБУ ПВВТ;30.12.2013;Турист ГБУ ПВВТ;;Московская область;;;Хохлова Ю.А.;;ЛПУ;21;1,30;1,38;;;;2 721,60;307,32;14 274,91;1 656,11;3 817,94;257,89;;;АВТО;ложь ;;;1;;2 721,60;14 274,91;3 817,94;;000000291;;;;;;;2 721,60;14 274,91;3 817,94;
988;000034;ГосЛПУ;МО_БП_10%;;;;08239;Дзержинская городская больница г.Дзержинский;11.07.2013;Дзержинская городская больница г.Дзержинский;;Московская область;;;Хохлова Ю.А.;50;ЛПУ;60;3,60;3,95;;88 630,11;18 118,01;;;;;;;69 014,32;10 402,15;АВТО;истина ;;Парма Медикал;1;88 630,11;;;;69 014,32;000000291;;;;;;88 630,11;;;;69 014,32
989;000034;ГосЛПУ;МО_БП_10%;;;;09511;МСЧ №9 ФБУЗ ФМБА России;13.02.2017;МСЧ №9 ФБУЗ ФМБА России;;Московская область;;;Хохлова Ю.А.;50;ЛПУ;120;13,00;7,89;;;;;;;;;;37 961,06;21 170,32;АВТО;истина ;;Парма Медикал;1;;;;;37 961,06;000000291;;;;;;;;;;37 961,06
990;000034;ГосЛПУ;МО_БП_10%;;;;09183;Львовская РБ ГБУЗ МО;30.03.2015;Львовская РБ ГБУЗ МО;;Московская область;;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;;;;;204 364,60;32 110,70;;;;;АВТО;истина ;;Парма Медикал;1;;;204 364,60;;;000000291;;;;;;;;204 364,60;;
991;000034;ГосЛПУ;МО_БП_10%;;;;07398;ГБ №3 г.Королев МБУЗ;19.07.2012;ГБ №3 г.Королев МБУЗ;;Московская область;;;Носова Е.А.;100;ЛПУ;60;3,60;3,95;;348 866,12;94 317,85;74 052,72;8 130,83;23 234,91;8 358,11;;;;;АВТО;ложь ;;Парма Медикал АО;1;;55 824,36;23 234,91;;;000000291;;;;;;;55 824,36;23 234,91;;
992;000034;ГосЛПУ;МО_БП_10%;;;;08601;Одинцовская ЦРБ МУЗ г. Одинцово;20.01.2014;Одинцовская ЦРБ МУЗ г. Одинцово;;Московская область;;;Шкатова В.В;;ЛПУ;30;1,80;1,97;;;;700 852,09;111 922,67;;;;;;;АВТО;истина ;;Парма Медикал;1;;700 852,09;;;;000000291;;;;;;;700 852,09;;;
993;000034;ГосЛПУ;МО_БП_10%;;;;08465;Туберкулезная больница имени А.Е. Рабухина ГБУЗ ДЗМ;30.10.2013;Туберкулезная больница имени А.Е. Рабухина ГБУЗ ДЗМ;;Московская область;;0,300;Шкатова В.В;50;ЛПУ;28;1,70;1,84;;555 624,55;34 256,67;271 549,35;10 205,02;90 410,36;10 874,36;799 007,35;227 461,86;749 550,54;164 799,20;АВТО;истина ;;Парма Медикал;1;555 624,55;271 549,35;;516 317,97;749 550,54;000000291;;;;;;555 624,55;271 549,35;;516 317,97;749 550,54
994;000034;ГосЛПУ;МО_БП_10%;;;;09751;Лесной ЦССВ ГБУ;14.04.2016;Лесной ЦССВ ГБУ;;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;;;;;132 713,06;21 924,91;;;АВТО;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
995;000034;ГосЛПУ;МО_БП_10%;;;;03798;Рошальская ГБ ГБУЗ МО г.Рошаль;10.01.2008;Рошальская ГБ ГБУЗ МО г.Рошаль;;Московская область;;10,000;Таран М.А.;100;ЛПУ;30;1,80;1,97;;88 153,94;17 965,71;;;;;104 889,32;7 484,14;574 555,58;77 431,52;АВТО;ложь ;;;1;;;;17 810,45;;000000291;;;;17 810,45;;;;;;
996;000034;ГосЛПУ;МО_БП_10%;;;;05248;3 ЦВКГ им. А.А.Вишневского  Минобороны России ФГКУ;02.07.2013;3 ЦВКГ им. А.А.Вишневского  Минобороны России ФГКУ;;Московская область;;;Носова Е.А.;100;ЛПУ;;;;;75 981,82;50 981,82;;;;;;;;;АВТО;истина ;;;1;75 981,82;;;;;000000291;;;;;;75 981,82;;;;
997;000034;ГосЛПУ;МО_БП_10%;;;;03606;Истринская РКБ ГБУЗ МО;13.10.2010;Истринская РКБ ГБУЗ МО;;Московская область;;;Таран М.А.;100;ЛПУ;120;13,00;7,89;;1 042 168,39;194 888,17;100 147,94;22 946,24;1 267 267,61;158 270,64;59 271,21;6 511,10;441 737,39;131 274,89;АВТО;истина ;;;1;;26 845,45;927 464,41;;309 235,84;000000291;;;927 464,41;;309 235,84;;26 845,45;;;
998;000034;ГосЛПУ;МО_БП_10%;;;;03595;Звенигородская ЦГБ ГБУЗ МО г. Звенигород;05.02.2007;Звенигородская ЦГБ ГБУЗ МО г. Звенигород;;Московская область;;;Зелинская Н.И.;100;ЛПУ;45;2,70;2,96;;366 916,99;4 367,44;342 744,19;47 779,31;71 450,52;13 090,92;79 040,32;7 464,67;40 336,99;4 037,69;АВТО;ложь ;;Парма Медикал;1;337 942,61;342 744,19;71 450,52;79 040,32;40 336,99;000000291;;;;;;337 942,61;342 744,19;71 450,52;79 040,32;40 336,99
999;000034;ГосЛПУ;МО_БП_10%;;;;08575;Одинцовский родильный дом МУЗ;23.12.2013;Одинцовский родильный дом МУЗ;;Московская область;;;Шкатова В.В;50;ЛПУ;45;2,70;2,96;;;;418 188,28;81 969,88;70 215,00;29 898,00;;;;;АВТО;истина ;;Парма Медикал;1;;418 188,28;70 215,00;;;000000291;;;;;;;418 188,28;70 215,00;;
1 000;000034;ГосЛПУ;МО_БП_10%;;;;03781;Психоневрологический интернат №10 г. Видное;19.12.2008;Психоневрологический интернат №10 г. Видное;;Московская область;;0,070;Шкатова В.В;100;ЛПУ;14;0,80;0,92;;4 675 512,41;483 667,64;1 993 628,15;78 917,10;1 732 803,72;17 949,89;3 930 019,79;655 031,28;1 735 674,81;232 899,75;АВТО;истина ;;;1;4 590 681,18;1 993 628,15;1 732 803,72;3 930 019,79;1 511 567,92;000000291;;;;;184 369,45;4 590 681,18;1 993 628,15;1 732 803,72;3 930 019,79;1 327 198,47
1 001;000034;ГосЛПУ;МО_БП_10%;;;;07059;МОПБ №22  г. Химки ГАУЗ;15.11.2011;МОПБ №22  г. Химки ГАУЗ;;Московская область;;;Таран М.А.;100;ЛПУ;21;1,30;1,38;;724 747,90;118 019,09;353 204,88;67 722,85;754 349,97;145 090,65;;;;;АВТО;ложь ;;;1;724 747,90;246 507,51;663 672,57;;;000000291;;199 997,99;90 896,18;;;724 747,90;46 509,52;572 776,39;;
1 002;000034;ГосЛПУ;МО_БП_10%;;;;08834;Щелковский психоневрологический диспансер ГБУЗ МО;12.08.2014;Щелковский психоневрологический диспансер ГБУЗ МО;;Московская область;;0,019;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;;;543 563,64;58 588,64;924 261,47;197 021,05;1 175 909,09;408 965,41;1 053 886,00;317 264,82;АВТО;истина ;;Парма Медикал;1;;543 563,64;725 508,70;1 175 909,09;1 053 886,00;000000291;;;200 896,05;;83 236,08;;543 563,64;524 612,65;1 175 909,09;970 649,92
1 003;000034;ГосЛПУ;МО_БП_10%;;;;08547;Можайская ЦРБ МУЗ;15.11.2013;Можайская ЦРБ МУЗ;;Московская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;436 799,99;141 859,84;;;;;;;;;АВТО;ложь ;;;1;436 799,99;;;;;000000291;436 799,99;;;;;;;;;
1 004;000034;ГосЛПУ;МО_БП_10%;;;;10221;Мытищинская городская детская поликлиника №2 ГБУЗ МО;16.06.2017;Мытищинская городская детская поликлиника №2 ГБУЗ МО;;Московская область;;;Таран М.А.;100;ЛПУ;60;3,60;3,95;;;;;;;;;;104 821,06;-2 938,31;АВТО;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
1 005;000034;ГосЛПУ;МО_БП_10%;;;;07053;"Филиал №4 ФГБУ ""3 ЦВКГ им. А.А. Вишневского"" Минобороны России";18.11.2011;"Филиал №4 ФГБУ ""3 ЦВКГ им. А.А. Вишневского"" Минобороны России";;Московская область;;;Назаренко Д.В.;100;ЛПУ;30;1,80;1,97;;1 275 566,22;104 031,45;19 738,28;6 464,07;50 042,82;3 687,22;65 081,53;13 473,63;;;АВТО;ложь ;;;1;77 172,80;;;;;000000291;77 172,80;;;;;;;;;
1 006;000034;ГосЛПУ;МО_БП_10%;;;;07270;Одинцовская станция скорой медицинской помощи ГБУЗ МО;02.04.2012;Одинцовская станция скорой медицинской помощи ГБУЗ МО;;Московская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;40 294,70;12 884,90;17 269,10;9 529,10;;;;;14 280,91;1 821,81;АВТО;ложь ;;;1;;;;;14 280,91;000000291;;;;;;;;;;14 280,91
1 007;000034;ГосЛПУ;МО_БП_10%;;;;07055;Люберецкий психоневрологический диспансер ГБУЗ МО п. Томилино;15.11.2011;Люберецкий психоневрологический диспансер ГБУЗ МО п. Томилино;;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;270 367,93;81 743,83;;;;;;;402 474,13;111 309,34;АВТО;истина ;;;1;270 367,93;;;;19 791,18;000000291;270 367,93;;;;;;;;;19 791,18
1 008;000034;ГосЛПУ;МО_БП_10%;;;;09122;ФГБУ ФНКЦ ФХМ ФМБА России;11.02.2015;ФГБУ ФНКЦ ФХМ ФМБА России;;Московская область;;;Зелинская Н.И.;100;ЛПУ;90;7,40;5,92;;;;;;265 109,54;41 306,08;225 485,67;62 008,29;;;АВТО;истина ;;Парма Медикал;1;;;265 109,54;181 235,01;;000000291;;;;;;;;265 109,54;181 235,01;
1 009;000034;ГосЛПУ;МО_БП_10%;;;;08320;Звенигородский ПНИ ГБСУСО МО г. Звенигород;14.08.2013;Звенигородский ПНИ ГБСУСО МО г. Звенигород;;Московская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;537 076,25;117 511,49;831 794,30;72 237,76;2 746 106,18;484 348,30;659 938,73;130 974,34;180 950,03;30 791,73;АВТО;истина ;;Парма Медикал;1;537 076,25;831 794,30;2 746 106,18;378 725,38;180 950,03;000000291;;;;6 822,00;;537 076,25;831 794,30;2 746 106,18;371 903,38;180 950,03
1 010;000034;ГосЛПУ;МО_БП_10%;;;;08338;Протвинская городская больница ГБУЗ МО  г. Протвино;05.08.2013;Протвинская городская больница ГБУЗ МО  г. Протвино;;Московская область;;;Носова Е.А.;80;ЛПУ;90;7,40;5,92;;332 678,39;52 772,82;39 968,72;2 326,24;245 240,82;49 651,58;;;;; -;истина ;;Парма Медикал;1;208 275,53;;245 240,82;;;000000291;208 275,53;;;;;;;245 240,82;;
1 011;000034;ГосЛПУ;МО_БП_10%;;;;07859;Малинская РБ МБУЗ пос. Малино;01.01.2013;Малинская РБ МБУЗ пос. Малино;;Московская область;;;Носова Е.А.;100;ЛПУ;10;0,60;0,66;;11 140,91;1 891,41;;;;;;;;;АВТО;ложь ;;Парма Медикал;1;11 140,91;;;;;000000291;11 140,91;;;;;;;;;
1 012;000034;ГосЛПУ;МО_БП_10%;;;;06292;Мытищинская станция скорой медицинской помощи ГБУЗ  МО г. Мытищи;08.06.2011;Мытищинская станция скорой медицинской помощи ГБУЗ  МО г. Мытищи;;Московская область;;;Носова Е.А.;100;ЛПУ;;;;;;;4 337,55;1 632,35;16 391,22;5 796,68;;;;;АВТО;истина ;;;1;;;;;;000000291;;;;;;;;;;
1 013;000034;ГосЛПУ;МО_БП_10%;;;;07857;Михневская РБ ГБУЗ МО пос. Михнево;21.03.2013;Михневская РБ ГБУЗ МО пос. Михнево;;Московская область;;;Носова Е.А.;100;ЛПУ;10;0,60;0,66;;510 086,45;92 405,53;;;297 879,29;39 957,14;;;;;АВТО;истина ;;Парма Медикал;1;510 086,45;;297 879,29;;;000000291;510 086,45;;125 220,00;;;;;172 659,29;;
1 014;000034;ГосЛПУ;МО_БП_10%;;;;08393;Главный военный клинический госпиталь войск национальной гвардии РФ ФГКУЗ;02.09.2013;Главный военный клинический госпиталь войск национальной гвардии РФ ФГКУЗ;;Московская область;;;Хохлова Ю.А.;100;ЛПУ;30;1,80;1,97;;;;;;;;;;137 320,77;5 583,66;АВТО;ложь ;;Парма Медикал;1;;;;;137 320,77;000000291;;;;;;;;;;137 320,77
1 015;000034;ГосЛПУ;МО_БП_10%;;;;06838;Больница НЦЧ РАН г. Черноголовка;19.09.2011;Больница НЦЧ РАН г. Черноголовка;;Московская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;23 911,43;3 004,88;;;;;;;;;АВТО;ложь ;;;1;;;;;;000000291;;;;;;;;;;
1 016;000034;ГосЛПУ;МО_БП_10%;;;;07858;ССМП Ступинского р-на МБУЗ г. Ступино;21.03.2013;ССМП Ступинского р-на МБУЗ г. Ступино;;Московская область;;;Носова Е.А.;100;ЛПУ;10;0,60;0,66;;21 812,72;3 583,42;;;;;;;;;АВТО;ложь ;;Парма Медикал;1;21 812,72;;;;;000000291;21 812,72;;;;;;;;;
1 017;000034;ГосЛПУ;МО_БП_10%;;;;07856;Ступинская ЦРКБ МБУЗ;17.04.2013;Ступинская ЦРКБ МБУЗ;;Московская область;;;Котов Н.А.;100;ЛПУ;10;0,60;0,66;;370 935,95;70 547,97;;;;;;;;;АВТО;ложь ;;;1;370 935,95;;;;;000000291;370 935,95;;;;;;;;;
1 018;000034;ГосЛПУ;МО_БП_10%;;;;07812;Чеховская РБ №2 ГБУЗ МО г.Чехов;15.01.2013;Чеховская РБ №2 ГБУЗ МО г.Чехов;;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;1 303,05;243,90;;;;;;;;;АВТО;ложь ;;;1;;;;;;000000291;;;;;;;;;;
1 019;000034;ГосЛПУ;МО_БП_10%;;;;09495;Медико-санитарная часть № 50 Федеральной службы исполнения наказаний ФКУЗ;02.10.2015;Медико-санитарная часть № 50 Федеральной службы исполнения наказаний ФКУЗ;;Московская область;;;Зелинская Н.И.;50;ЛПУ;21;1,30;1,38;;;;;;191 409,18;23 454,83;;;;;АВТО;истина ;;Парма Медикал АО;1;;;191 409,18;;;000000291;;;;;;;;191 409,18;;
1 020;000034;ГосЛПУ;МО_БП_10%;;;;10046;Узловая поликлиника на ст. Бекасово ОАО «РЖД» НУЗ;08.02.2017;Узловая поликлиника на ст. Бекасово ОАО «РЖД» НУЗ;;Московская область;;;Зелинская Н.И.;50;ЛПУ;;;;;;;;;;;;;256 376,06;61 535,16;АВТО;истина ;;Парма Медикал АО;1;;;;;212 312,23;000000291;;;;;;;;;;212 312,23
1 021;000034;ГосЛПУ;МО_БП_10%;;;;09138;Коломенский детский дом-интернат ГБСУСО, г. Коломна;24.02.2015;Коломенский детский дом-интернат ГБСУСО, г. Коломна;;Московская область;;;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;;;;;942 212,59;128 696,93;2 243 849,29;429 017,22;1 273 587,57;103 564,38;АВТО;истина ;;Парма Медикал;1;;;942 212,59;2 243 849,29;1 273 587,57;000000291;;;;;;;;942 212,59;2 243 849,29;1 273 587,57
1 022;000034;ГосЛПУ;МО_БП_10%;;;;09728;Станция переливания крови ГБУЗ МО г.Орехово-Зуево;29.03.2016;Станция переливания крови ГБУЗ МО г.Орехово-Зуево;;Московская область;;;Носова Е.А.;100;ЛПУ;;;;;;;;;;;13 329,13;3 707,36;;; -;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
1 023;000034;ГосЛПУ;МО_БП_10%;;;;09988;Софринская ГБ им. Семашко Н.А. ГБУЗ МО;18.01.2017;Софринская ГБ им. Семашко Н.А. ГБУЗ МО;;Московская область;;;Таран М.А.;100;ЛПУ;90;7,40;5,92;;;;;;;;;;135 654,74;21 373,71;АВТО;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
1 024;000034;ГосЛПУ;МО_БП_10%;;;;09990;Поликлиника пос. Лесной ГБУЗ МО;25.08.2017;Поликлиника пос. Лесной ГБУЗ МО;;Московская область;;;Таран М.А.;100;ЛПУ;;;;;;;;;;;;;6 922,96;2 609,10;АВТО;ложь ;;Парма Медикал;1;;;;;;000000291;;;;;;;;;;
1 025;000036;ГосЛПУ;МО_БП_30%;;;;10286;Коломенский перинатальный центр;28.08.2017;Коломенский перинатальный центр;;Московская область;;;Шкатова В.В;50;ЛПУ;;;;;;;;;;;;;218 718,87;64 601,96;АВТО;истина ;;Парма Медикал АО;1;;;;;218 718,87;000000291;;;;;;;;;;218 718,87
1 026;000036;ГосЛПУ;МО_БП_30%;;;;10086;Мытищинский кожно-венерологический диспансер ГАУЗ МО;16.03.2017;Мытищинский кожно-венерологический диспансер ГАУЗ МО;;Московская область;;0,110;Котов Н.А.;100;ЛПУ;60;3,60;3,95;;;;;;;;;;1 023 052,21;229 042,12;АВТО;ложь ;;Парма Медикал;1;;;;;1 023 052,21;000000291;;;;;1 023 052,21;;;;;
1 027;000036;ГосЛПУ;МО_БП_30%;;;;04623;Детская психиатрическая больница №11 ГУЗ г.Москвы;15.02.2008;Детская психиатрическая больница №11 ГУЗ г.Москвы;;Московская область;;0,200;Котов Н.А.;100;ЛПУ;30;1,80;1,97;;44 442,33;3 976,69;196 945,65;34 945,65;;;1 866 677,52;713 205,30;564 335,85;41 861,73;АВТО;ложь ;;;1;;;;1 866 677,52;564 335,85;000000291;;;;1 866 677,52;564 335,85;;;;;
1 028;000036;ГосЛПУ;МО_БП_30%;;;;07826;Лосино-Петровская ЦГБ МБУЗ;09.01.2013;Лосино-Петровская ЦГБ МБУЗ;;Московская область;;0,200;Носова Е.А.;100;ЛПУ;;;;;301 363,70;78 000,25;;;;;;;;;АВТО;ложь ;;;1;106 115,33;;;;;000000291;106 115,33;;;;;;;;;
1 029;000036;ГосЛПУ;МО_БП_30%;;;;06335;Солнечногорская ЦРБ ГБУЗ г. Солнечногорск;26.07.2011;Солнечногорская ЦРБ ГБУЗ г. Солнечногорск;;Московская область;;0,200;Таран М.А.;100;ЛПУ;45;2,70;2,96;;;;;;;;5 065 757,51;897 909,12;1 099 725,28;192 252,29;АВТО;истина ;;Парма Медикал;1;;;;2 410 401,20;108 634,40;000000291;;;;879 388,95;108 634,40;;;;1 531 012,25;
1 030;000036;ГосЛПУ;МО_БП_30%;;;;06279;Московский областной  противотуберкулезный диспансер ГБУЗ;18.05.2011;Московский областной  противотуберкулезный диспансер ГБУЗ;;Московская область;;0,110;Таран М.А.;100;ЛПУ;30;1,80;1,97;;1 608 950,53;444 032,04;1 298 890,58;296 623,87;3 350 966,54;1 111 794,29;;;7 790 205,29;2 057 925,40;АВТО;истина ;;;1;;899 462,67;2 913 901,22;;4 137 443,55;000000291;;899 462,67;2 913 901,22;;4 137 443,55;;;;;
1 031;000036;ГосЛПУ;МО_БП_30%;;;;09735;Больница Пущинского научного центра  РАН ФГБУЗ;12.04.2016;Больница Пущинского научного центра  РАН ФГБУЗ;;Московская область;;0,150;Котов Н.А.;100;ЛПУ;90;7,40;5,92;;;;;;;;2 681 859,83;815 075,45;2 323 736,16;765 110,36;АВТО;ложь ;;Парма Медикал;1;;;;2 681 859,83;2 323 736,16;000000291;;;;2 681 859,83;2 323 736,16;;;;;
1 032;000036;ГосЛПУ;МО_БП_30%;;;;08881;МОПБ №17 Курилово;20.08.2014;МОПБ №17 Курилово;;Московская область;;0,150;Таран М.А.;100;ЛПУ;90;7,40;5,92;;;;631 247,94;118 542,72;2 503 234,22;365 432,30;625 539,61;42 867,69;2 676 573,46;493 919,25;АВТО;ложь ;;Парма Медикал;1;;588 629,24;2 268 453,25;381 636,43;123 041,57;000000291;;588 629,24;2 268 453,25;187 469,43;123 041,57;;;;194 167,00;
1 033;000036;ГосЛПУ;МО_БП_30%;;;;07793;Городская больница г. Юбилейного  МБУЗ;27.12.2012;Городская больница г. Юбилейного  МБУЗ;;Московская область;;0,150;Носова Е.А.;100;ЛПУ;60;3,60;3,95;;1 639 273,22;463 491,59;;;;;;;;;АВТО;ложь ;;;1;;;;;;000000291;;;;;;;;;;
1 034;000036;ГосЛПУ;МО_БП_30%;;;;08339;Антроповский ПНИ ГБСУСО МО Чеховский р-н;15.08.2013;Антроповский ПНИ ГБСУСО МО Чеховский р-н;;Московская область;;0,050;Шкатова В.В;100;ЛПУ;60;3,60;3,95;;332 471,35;45 513,07;1 490 991,27;229 853,90;;;;;768 002,13;76 369,74;АВТО;ложь ;;Парма Медикал;1;332 471,35;1 490 991,27;;;768 002,13;000000291;;;;;1 255,09;332 471,35;1 490 991,27;;;766 747,04
1 035;000036;ГосЛПУ;МО_БП_30%;;;;06345;Денежниковский ПНИ ГБСУСОН МО пос. Денежниково;07.12.2012;Денежниковский ПНИ ГБСУСОН МО пос. Денежниково;;Московская область;;0,100;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;;;2 801 956,92;904 312,39;1 253 929,50;114 999,13;1 971 907,64;149 676,42;АВТО;ложь ;;Парма Медикал;1;;;2 799 593,28;122 855,45;976 179,69;000000291;;;1 545 691,39;122 855,45;976 179,69;;;1 253 901,89;;
1 036;000036;ГосЛПУ;МО_БП_30%;;;;04357;ПНИ ГБСУСО г. Орехово-Зуево;25.03.2008;ПНИ ГБСУСО г. Орехово-Зуево;;Московская область;;0,220;Таран М.А.;100;ЛПУ;60;3,60;3,95;;2 097 609,64;307 208,86;2 808 980,46;569 022,47;3 531 087,61;705 334,33;2 628 060,90;209 120,00;2 860 529,72;521 540,94;АВТО;ложь ;;;1;716 760,82;2 165 316,09;3 519 869,61;2 609 879,07;2 843 282,96;000000291;716 760,82;471 431,94;919 306,21;559 090,73;2 843 282,96;;1 693 884,15;2 600 563,40;2 050 788,34;
1 037;000036;ГосЛПУ;МО_БП_30%;;;;09766;Филиал №4 ГВКГ им. Н.Н. Бурденко Минобороны России ФГКУ;26.04.2016;Филиал №4 ГВКГ им. Н.Н. Бурденко Минобороны России ФГКУ;;Московская область;;0,150;Таран М.А.;100;ЛПУ;60;3,60;3,95;;;;;;;;863 795,98;111 997,10;;;АВТО;ложь ;;;1;;;;853 644,03;;000000291;;;;475 212,43;;;;;378 431,60;
1 038;000036;ГосЛПУ;МО_БП_30%;;;;07840;Подольская городская поликлиника №1  ГБУЗ г. Подольск;01.02.2013;Подольская городская поликлиника №1  ГБУЗ г. Подольск;;Московская область;;0,200;Таран М.А.;100;ЛПУ;60;3,60;3,95;;1 689 075,41;478 960,73;2 111 275,41;575 698,18;1 853 963,85;660 329,35;1 231 511,39;438 756,04;1 538 544,53;457 153,68;АВТО;ложь ;;;1;;1 516 970,06;1 714 966,55;1 069 110,98;312 379,06;000000291;;440 715,78;215 326,25;24 577,02;312 379,06;;1 076 254,28;1 499 640,30;1 044 533,96;
